rank	trigram	count	percent
243	гин	40383	0.095768
244	иши	40341	0.095668
245	ууг	40206	0.095348
246	төр	40188	0.095305
247	кка	40181	0.095289
248	ерл	40025	0.094919
249	лек	39799	0.094383
250	жет	39782	0.094343
251	иев	39682	0.094106
252	нис	39594	0.093897
253	еке	39542	0.093774
254	үрү	39460	0.093579
255	укт	39286	0.093166
256	оло	39145	0.092832
257	лып	39097	0.092718
258	ышк	38970	0.092417
259	тык	38618	0.091582
260	орд	38315	0.090864
261	өтү	38257	0.090726
262	ого	38122	0.090406
263	азы	38095	0.090342
264	ург	38000	0.090117
265	ирг	37942	0.089979
266	көн	37918	0.089922
267	етт	37248	0.088333
268	дам	36955	0.087638
269	рыл	36664	0.086948
270	лге	36502	0.086564
271	ици	36482	0.086517
272	ова	36426	0.086384
273	бор	36387	0.086291
274	гил	36318	0.086128
275	яны	36068	0.085535
276	ика	35936	0.085222
277	гиз	35853	0.085025
278	жол	35772	0.084833
279	ткө	35740	0.084757
280	еси	35588	0.084397
281	рус	35548	0.084302
282	уул	35440	0.084046
283	ызс	35394	0.083937
284	зст	35281	0.083669
285	орг	35229	0.083545
286	өтк	35197	0.083469
287	рду	35125	0.083299
288	тап	35076	0.083182
289	кол	35020	0.083050
290	ели	34915	0.082801
291	нду	34757	0.082426
292	сат	34740	0.082386
293	мас	34697	0.082284
294	ысы	34676	0.082234
295	ашы	34606	0.082068
296	лым	34478	0.081764
297	мда	34478	0.081764
298	өлү	34411	0.081605
299	ани	34376	0.081522
300	кти	34369	0.081506
301	жер	34134	0.080948
302	жаш	34018	0.080673
303	жак	33942	0.080493
304	ооп	33938	0.080484
305	өлө	33856	0.080289
306	таш	33790	0.080133
307	үлө	33708	0.079938
308	ышт	33635	0.079765
309	окт	33594	0.079668
310	шаа	33507	0.079462
311	ушу	33465	0.079362
312	арл	33461	0.079352
313	шты	33435	0.079291
314	бак	33253	0.078859
315	бел	33219	0.078779
316	ашк	33154	0.078624
317	деп	32777	0.077730
318	бас	32700	0.077548
319	үрө	32651	0.077432
320	дер	32599	0.077308
321	йла	32595	0.077299
322	лдо	32542	0.077173
323	лги	32480	0.077026
324	овд	32380	0.076789
325	тик	32296	0.076590
326	сот	32285	0.076564
327	ыма	32178	0.076310
328	өлк	32151	0.076246
329	лкө	32079	0.076075
330	кам	31910	0.075674
331	лду	31898	0.075646
332	иян	31643	0.075041
333	нов	31599	0.074937
334	оту	31552	0.074825
335	яла	31477	0.074647
336	тыл	31435	0.074548
337	жүр	31137	0.073841
338	амд	30780	0.072994
339	алу	30696	0.072795
340	тту	30502	0.072335
341	рек	30445	0.072200
342	тун	30286	0.071823
343	ргө	30256	0.071752
344	айр	30109	0.071403
345	тоо	30031	0.071218
346	уда	29894	0.070893
347	аса	29869	0.070834
348	лап	29761	0.070578
349	ыры	29754	0.070561
350	дик	29749	0.070549
351	нча	29693	0.070417
352	үлү	29683	0.070393
353	угу	29667	0.070355
