rank	bigram	count	percent
495	бш	3319	0.007700
496	нь	3308	0.007674
497	ңж	3238	0.007512
498	зн	3232	0.007498
499	дэ	3230	0.007493
500	жм	3196	0.007415
501	фу	3192	0.007405
502	пү	3179	0.007375
503	дв	3178	0.007373
504	рп	3153	0.007315
505	нз	3150	0.007308
506	ңк	3138	0.007280
507	дп	3096	0.007183
508	ух	3028	0.007025
509	үң	2981	0.006916
510	дк	2922	0.006779
511	вн	2827	0.006558
512	ью	2779	0.006447
513	их	2769	0.006424
514	мш	2731	0.006336
515	ыж	2687	0.006234
516	ых	2671	0.006197
517	ъе	2606	0.006046
518	эб	2591	0.006011
519	зт	2573	0.005969
520	кд	2491	0.005779
521	жд	2467	0.005723
522	ои	2425	0.005626
523	рх	2408	0.005586
524	лр	2400	0.005568
525	иж	2399	0.005566
526	дь	2385	0.005533
527	гг	2356	0.005466
528	кг	2352	0.005456
529	ея	2348	0.005447
530	эп	2309	0.005357
531	ьт	2287	0.005306
532	ют	2235	0.005185
533	юп	2211	0.005129
534	кж	2197	0.005097
535	оа	2192	0.005085
536	пн	2181	0.005060
537	бъ	2140	0.004965
538	яз	2104	0.004881
539	вс	2102	0.004876
540	жб	2102	0.004876
541	св	2077	0.004818
542	ец	2051	0.004758
543	вл	2047	0.004749
544	гл	2032	0.004714
545	оё	2025	0.004698
546	йч	2023	0.004693
547	бн	1971	0.004573
548	вм	1931	0.004480
549	ху	1818	0.004218
550	зк	1817	0.004215
551	зч	1813	0.004206
552	бс	1805	0.004187
553	ть	1795	0.004164
554	сх	1784	0.004139
555	хе	1771	0.004109
556	эш	1769	0.004104
557	шб	1708	0.003962
558	ңш	1693	0.003928
559	шн	1689	0.003918
560	ёт	1686	0.003911
561	цт	1660	0.003851
562	хт	1616	0.003749
563	ср	1608	0.003730
564	сф	1607	0.003728
565	эф	1554	0.003605
566	ңс	1554	0.003605
567	нп	1550	0.003596
568	йп	1549	0.003594
569	рц	1537	0.003566
570	эд	1533	0.003556
571	сн	1498	0.003475
572	хы	1469	0.003408
573	дн	1456	0.003378
574	эй	1454	0.003373
575	вы	1448	0.003359
576	жк	1439	0.003338
577	пб	1416	0.003285
578	юц	1402	0.003253
579	вь	1370	0.003178
580	жр	1362	0.003160
581	ңо	1329	0.003083
582	уф	1324	0.003072
583	шр	1307	0.003032
584	чм	1286	0.002983
585	чб	1285	0.002981
586	ох	1276	0.002960
587	юз	1263	0.002930
588	нл	1242	0.002881
589	гч	1233	0.002860
590	лэ	1202	0.002789
591	гн	1177	0.002731
592	ыа	1168	0.002710
593	яц	1163	0.002698
594	ьм	1135	0.002633
595	яч	1122	0.002603
596	кз	1117	0.002591
597	уе	1107	0.002568
598	ьд	1089	0.002526
599	ря	1088	0.002524
600	тж	1081	0.002508
601	ьн	1080	0.002506
602	чё	1072	0.002487
603	ёр	1072	0.002487
604	дл	1060	0.002459
605	чс	1058	0.002454
606	нш	1056	0.002450
607	хр	1045	0.002424
608	ца	1030	0.002390
609	тэ	1029	0.002387
610	тл	1011	0.002345
611	бб	1005	0.002332
612	нэ	1001	0.002322
613	эв	967	0.002243
614	эж	965	0.002239
615	тд	941	0.002183
616	чэ	937	0.002174
617	ңө	920	0.002134
618	ао	902	0.002093
619	гб	896	0.002079
620	фл	885	0.002053
621	фф	876	0.002032
622	уж	846	0.001963
623	аю	833	0.001933
624	ув	832	0.001930
625	юк	831	0.001928
626	бг	824	0.001912
627	ня	817	0.001895
628	фэ	794	0.001842
629	сч	791	0.001835
630	пь	771	0.001789
631	цк	769	0.001784
632	жч	767	0.001779
633	ьк	767	0.001779
634	сю	732	0.001698
635	лз	729	0.001691
636	шв	719	0.001668
637	дс	718	0.001666
638	вш	712	0.001652
639	тф	702	0.001629
640	юж	696	0.001615
641	ся	693	0.001608
642	бт	692	0.001605
643	нр	678	0.001573
644	уи	637	0.001478
645	сш	632	0.001466
646	ьс	624	0.001448
647	ңч	604	0.001401
648	иу	602	0.001397
649	дг	571	0.001325
650	ву	563	0.001306
651	ыо	562	0.001304
652	бк	555	0.001288
653	шд	547	0.001269
654	ьф	541	0.001255
655	тё	530	0.001230
656	вч	522	0.001211
657	оэ	522	0.001211
658	чп	511	0.001185
659	ям	509	0.001181
660	йе	506	0.001174
661	ңб	502	0.001165
662	ые	500	0.001160
663	лв	499	0.001158
664	еи	494	0.001146
665	рф	491	0.001139
666	хл	490	0.001137
667	ще	484	0.001123
668	йа	482	0.001118
669	иэ	479	0.001111
670	сь	477	0.001107
671	мв	473	0.001097
672	уэ	472	0.001095
673	ьш	472	0.001095
674	шэ	461	0.001069
675	ьб	448	0.001039
676	жн	447	0.001037
677	зп	445	0.001032
678	цу	440	0.001021
679	пж	437	0.001014
680	ьв	424	0.000984
681	щи	418	0.000970
682	съ	415	0.000963
683	йу	410	0.000951
684	цо	410	0.000951
685	сц	408	0.000947
686	гв	405	0.000940
687	фк	403	0.000935
688	юб	403	0.000935
689	сё	391	0.000907
690	гк	390	0.000905
691	дз	388	0.000900
692	мё	382	0.000886
693	нх	382	0.000886
694	иө	380	0.000882
695	юй	378	0.000877
696	тю	377	0.000875
697	йэ	376	0.000872
698	мр	376	0.000872
699	ьг	375	0.000870
700	иё	370	0.000858
701	гт	360	0.000835
702	зв	354	0.000821
703	сг	354	0.000821
704	чр	349	0.000810
705	цн	341	0.000791
706	вб	338	0.000784
707	уо	338	0.000784
708	үж	336	0.000779
709	йц	332	0.000770
710	шж	322	0.000747
711	ьп	320	0.000742
712	ём	318	0.000738
713	ыэ	316	0.000733
714	ыу	315	0.000731
715	дю	314	0.000728
716	иү	311	0.000721
717	мя	304	0.000705
718	чн	304	0.000705
719	ёв	304	0.000705
720	ёе	303	0.000703
721	өа	301	0.000698
722	тх	300	0.000696
723	вя	298	0.000691
724	мз	298	0.000691
725	пд	298	0.000691
726	яе	296	0.000687
727	дч	291	0.000675
728	зз	291	0.000675
729	ыв	288	0.000668
730	ыи	287	0.000666
731	ыө	286	0.000664
732	шг	285	0.000661
733	хс	283	0.000657
734	гм	281	0.000652
735	йф	281	0.000652
736	еу	276	0.000640
737	ңт	275	0.000638
738	үа	265	0.000615
739	дб	263	0.000610
740	фс	262	0.000608
741	сж	259	0.000601
742	тг	259	0.000601
743	вэ	258	0.000599
744	сэ	256	0.000594
745	йв	255	0.000592
746	пм	253	0.000587
747	аө	249	0.000578
748	яп	248	0.000575
749	эч	246	0.000571
750	хг	244	0.000566
751	кф	243	0.000564
752	шл	242	0.000561
753	вж	241	0.000559
754	бм	239	0.000554
755	ён	237	0.000550
756	зр	236	0.000548
757	өж	235	0.000545
758	лш	233	0.000541
759	йх	229	0.000531
760	эз	229	0.000531
761	эу	225	0.000522
762	зю	223	0.000517
763	ңз	221	0.000513
764	хэ	219	0.000508
765	ню	217	0.000503
766	гс	214	0.000496
767	бь	211	0.000490
768	лё	210	0.000487
769	рю	210	0.000487
770	лф	209	0.000485
771	яж	208	0.000483
772	ьи	199	0.000462
773	юң	194	0.000450
774	бэ	193	0.000448
775	ща	193	0.000448
776	вп	191	0.000443
777	ьо	191	0.000443
778	бж	187	0.000434
779	зж	181	0.000420
780	ящ	180	0.000418
781	дт	179	0.000415
782	ёл	177	0.000411
783	тш	174	0.000404
784	аы	169	0.000392
785	яш	169	0.000392
786	цф	168	0.000390
787	дш	163	0.000378
788	мф	163	0.000378
789	лх	160	0.000371
790	ях	159	0.000369
791	ьз	158	0.000367
792	ощ	157	0.000364
793	фш	156	0.000362
794	хк	156	0.000362
795	юч	147	0.000341
796	бз	145	0.000336
797	юг	145	0.000336
798	жг	143	0.000332
799	зэ	142	0.000329
800	дф	139	0.000322
801	цц	139	0.000322
802	эа	139	0.000322
803	цы	137	0.000318
804	хь	135	0.000313
805	пэ	134	0.000311
806	цз	133	0.000309
807	еэ	131	0.000304
808	ёб	128	0.000297
809	ещ	126	0.000292
810	өе	126	0.000292
811	бх	123	0.000285
812	бя	123	0.000285
813	тз	123	0.000285
814	хв	123	0.000285
815	хч	119	0.000276
816	бф	112	0.000260
817	ьх	112	0.000260
818	аё	111	0.000258
819	яв	110	0.000255
820	бщ	108	0.000251
821	мю	108	0.000251
822	ьц	108	0.000251
823	ащ	106	0.000246
824	ёю	106	0.000246
825	пг	104	0.000241
826	рё	104	0.000241
827	ущ	104	0.000241
828	ищ	103	0.000239
829	ыы	103	0.000239
830	юа	103	0.000239
831	зл	101	0.000234
832	дя	98	0.000227
833	ьа	96	0.000223
834	үө	96	0.000223
835	яң	93	0.000216
836	вз	91	0.000211
837	вф	90	0.000209
838	зь	87	0.000202
839	фн	87	0.000202
840	аъ	86	0.000200
841	чж	86	0.000200
842	дё	85	0.000197
843	зя	85	0.000197
844	ъл	85	0.000197
845	пю	84	0.000195
846	пя	83	0.000193
847	ёо	83	0.000193
848	бч	82	0.000190
849	вв	82	0.000190
850	пф	82	0.000190
851	ыф	82	0.000190
852	эх	82	0.000190
853	зф	81	0.000188
854	кх	81	0.000188
855	мц	81	0.000188
856	пх	80	0.000186
857	уө	80	0.000186
858	цө	80	0.000186
859	ёк	80	0.000186
860	ьч	78	0.000181
861	үо	75	0.000174
862	вх	74	0.000172
863	цс	72	0.000167
864	үу	72	0.000167
865	цр	71	0.000165
866	өв	71	0.000165
867	пё	69	0.000160
868	рщ	69	0.000160
869	чв	69	0.000160
870	шх	68	0.000158
871	ющ	68	0.000158
872	фг	67	0.000155
873	цв	67	0.000155
874	цл	67	0.000155
875	гф	65	0.000151
876	дъ	64	0.000148
877	ею	64	0.000148
878	пв	64	0.000148
879	жт	63	0.000146
880	нё	63	0.000146
881	чч	63	0.000146
882	шь	62	0.000144
883	хд	61	0.000142
884	йя	60	0.000139
885	яа	60	0.000139
886	яо	60	0.000139
887	үэ	60	0.000139
888	фм	56	0.000130
889	ьё	56	0.000130
890	фб	55	0.000128
891	яя	55	0.000128
892	жп	54	0.000125
893	тц	54	0.000125
894	дх	53	0.000123
895	хш	53	0.000123
896	өү	52	0.000121
897	фы	51	0.000118
898	хб	51	0.000118
899	чь	50	0.000116
900	ыү	50	0.000116
901	жс	49	0.000114
902	чд	49	0.000114
903	шю	49	0.000114
904	яу	49	0.000114
905	гп	48	0.000111
906	шя	48	0.000111
907	иы	47	0.000109
908	ёп	47	0.000109
909	вө	46	0.000107
910	гц	45	0.000104
911	гю	45	0.000104
912	зх	45	0.000104
913	уү	44	0.000102
914	хп	44	0.000102
915	үи	43	0.000100
916	жж	42	0.000097
917	ьж	42	0.000097
918	вц	41	0.000095
919	өх	40	0.000093
920	цб	39	0.000090
921	щу	39	0.000090
922	яй	39	0.000090
923	ёс	39	0.000090
924	дц	38	0.000088
925	цп	38	0.000088
926	эц	38	0.000088
927	өо	38	0.000088
928	жё	37	0.000086
929	кю	37	0.000086
930	ця	37	0.000086
931	ьь	37	0.000086
932	юв	37	0.000086
933	өы	37	0.000086
934	бв	36	0.000084
935	бё	36	0.000084
936	кь	36	0.000084
937	фь	36	0.000084
938	яю	36	0.000084
939	ңм	36	0.000084
940	өи	36	0.000084
941	мх	35	0.000081
942	тъ	35	0.000081
943	аү	34	0.000079
944	оө	34	0.000079
945	уы	34	0.000079
946	бп	33	0.000077
947	кя	33	0.000077
948	пз	33	0.000077
949	хх	33	0.000077
950	яи	33	0.000077
951	бц	32	0.000074
952	зш	32	0.000074
953	өэ	32	0.000074
954	еө	31	0.000072
955	фд	31	0.000072
956	чш	30	0.000070
957	шш	30	0.000070
958	гз	29	0.000067
959	юх	29	0.000067
960	её	28	0.000065
961	нщ	28	0.000065
962	чл	28	0.000065
963	ёд	28	0.000065
964	нъ	27	0.000063
965	вщ	26	0.000060
966	хё	26	0.000060
967	жь	25	0.000058
968	сз	25	0.000058
969	щё	25	0.000058
970	ёг	25	0.000058
971	цм	24	0.000056
972	өф	24	0.000056
973	хү	23	0.000053
974	юю	23	0.000053
975	гж	22	0.000051
976	гш	22	0.000051
977	фё	22	0.000051
978	юи	22	0.000051
979	яы	22	0.000051
980	жл	21	0.000049
981	хю	21	0.000049
982	ыщ	21	0.000049
983	ёз	21	0.000049
984	үв	21	0.000049
985	ъя	20	0.000046
986	гх	19	0.000044
987	шф	19	0.000044
988	ьщ	19	0.000044
989	эе	19	0.000044
990	ңэ	19	0.000044
991	өу	19	0.000044
992	фх	18	0.000042
993	шё	18	0.000042
994	ъё	18	0.000042
995	чх	17	0.000039
996	эи	17	0.000039
997	яф	17	0.000039
998	жш	16	0.000037
999	хз	16	0.000037
1000	ъю	16	0.000037
1001	үф	16	0.000037
1002	вю	15	0.000035
1003	йю	15	0.000035
1004	фч	15	0.000035
1005	фю	15	0.000035
1006	эо	15	0.000035
1007	бй	14	0.000032
1008	оү	14	0.000032
1009	тй	14	0.000032
1010	хъ	14	0.000032
1011	гё	13	0.000030
1012	цю	13	0.000030
1013	ьу	13	0.000030
1014	ьэ	13	0.000030
1015	хф	12	0.000028
1016	юе	12	0.000028
1017	үя	12	0.000028
1018	вё	11	0.000026
1019	кё	11	0.000026
1020	щн	11	0.000026
1021	юэ	11	0.000026
1022	үы	11	0.000026
1023	гя	10	0.000023
1024	еү	10	0.000023
1025	зё	10	0.000023
1026	цэ	10	0.000023
1027	щт	10	0.000023
1028	яэ	10	0.000023
1029	яө	10	0.000023
1030	үю	10	0.000023
1031	кй	9	0.000021
1032	лц	9	0.000021
1033	мй	9	0.000021
1034	оы	9	0.000021
1035	чг	9	0.000021
1036	ыц	9	0.000021
1037	ңр	9	0.000021
1038	өю	9	0.000021
1039	йё	8	0.000019
1040	лй	8	0.000019
1041	нй	8	0.000019
1042	цж	8	0.000019
1043	щь	8	0.000019
1044	ёй	8	0.000019
1045	үе	8	0.000019
1046	рй	7	0.000016
1047	цг	7	0.000016
1048	ёш	7	0.000016
1049	еы	6	0.000014
1050	жв	6	0.000014
1051	зц	6	0.000014
1052	фж	6	0.000014
1053	ьр	6	0.000014
1054	юф	6	0.000014
1055	вү	5	0.000012
1056	жх	5	0.000012
1057	къ	5	0.000012
1058	лъ	5	0.000012
1059	сй	5	0.000012
1060	щы	5	0.000012
1061	өя	5	0.000012
1062	аь	4	0.000009
1063	еь	4	0.000009
1064	жю	4	0.000009
1065	йң	4	0.000009
1066	тщ	4	0.000009
1067	фз	4	0.000009
1068	хй	4	0.000009
1069	щл	4	0.000009
1070	що	4	0.000009
1071	ьл	4	0.000009
1072	ьы	4	0.000009
1073	юо	4	0.000009
1074	вй	3	0.000007
1075	дй	3	0.000007
1076	зъ	3	0.000007
1077	кң	3	0.000007
1078	оъ	3	0.000007
1079	оь	3	0.000007
1080	тң	3	0.000007
1081	фп	3	0.000007
1082	фц	3	0.000007
1083	цд	3	0.000007
1084	чя	3	0.000007
1085	щк	3	0.000007
1086	ъа	3	0.000007
1087	ък	3	0.000007
1088	ыё	3	0.000007
1089	эя	3	0.000007
1090	эө	3	0.000007
1091	юя	3	0.000007
1092	яү	3	0.000007
1093	ңн	3	0.000007
1094	ңп	3	0.000007
1095	ңф	3	0.000007
