rank	bigram	count	percent
1	ар	994250	2.306593
2	ан	944355	2.190840
3	ын	781956	1.814085
4	та	694564	1.611342
5	ал	670885	1.556408
6	да	663611	1.539533
7	ка	634785	1.472658
8	нд	558615	1.295949
9	ат	547618	1.270437
10	ин	502373	1.165471
11	ер	478499	1.110085
12	га	471930	1.094846
13	ма	451668	1.047839
14	ай	415941	0.964955
15	ра	408452	0.947581
16	ба	398392	0.924243
17	ла	397559	0.922310
18	ке	361128	0.837793
19	рд	356395	0.826812
20	ун	354208	0.821739
21	кт	351287	0.814962
22	ды	341532	0.792331
23	ты	329848	0.765225
24	ен	324893	0.753730
25	на	314655	0.729978
26	жа	307363	0.713061
27	те	301754	0.700049
28	уу	297601	0.690414
29	ры	294751	0.683802
30	ор	293514	0.680933
31	ны	291181	0.675520
32	ак	288283	0.668797
33	ко	284795	0.660705
34	ти	278502	0.646106
35	тт	274462	0.636733
36	кы	271269	0.629326
37	лд	268379	0.622621
38	де	268321	0.622487
39	үн	259037	0.600948
40	ту	252511	0.585808
41	ык	251735	0.584008
42	ыл	247199	0.573485
43	рг	246462	0.571775
44	лы	245885	0.570437
45	ек	242120	0.561702
46	лг	238947	0.554341
47	бе	238645	0.553640
48	ри	236238	0.548056
49	ди	234874	0.544892
50	сы	230989	0.535879
51	ур	230272	0.534216
52	ст	217192	0.503871
53	гы	217061	0.503567
54	оо	216416	0.502071
55	са	216360	0.501941
56	ол	215544	0.500048
57	ли	215474	0.499885
58	аг	211875	0.491536
59	ил	211812	0.491390
60	ас	207001	0.480228
61	ам	205476	0.476690
62	ру	201328	0.467067
63	шт	194696	0.451682
64	он	194520	0.451273
65	ия	193678	0.449320
66	тк	190196	0.441242
67	ет	189617	0.439899
68	ни	187945	0.436020
69	тү	187847	0.435792
70	то	184046	0.426974
71	ул	182986	0.424515
72	кө	182739	0.423942
73	аш	181906	0.422010
74	ле	179885	0.417321
75	лу	179209	0.415753
76	ыр	178420	0.413922
77	ыз	175798	0.407839
78	ир	170196	0.394843
79	ук	168955	0.391964
80	ку	165693	0.384397
81	ел	163321	0.378894
82	өр	162586	0.377189
83	ик	162261	0.376435
84	ги	160567	0.372505
85	ду	159802	0.370730
86	үү	159350	0.369681
87	аа	158762	0.368317
88	өн	157947	0.366426
89	би	157203	0.364700
90	ге	155847	0.361555
91	ми	154198	0.357729
92	иш	153922	0.357089
93	бо	149377	0.346545
94	ну	149018	0.345712
95	аб	138224	0.320670
96	рт	138065	0.320301
97	до	137766	0.319608
98	су	136216	0.316012
99	ов	135894	0.315265
100	шк	134191	0.311314
101	не	133003	0.308558
102	ап	132288	0.306899
103	рү	132129	0.306530
104	ре	131628	0.305368
105	ыш	129655	0.300791
106	ад	128796	0.298798
107	чы	128772	0.298742
108	ки	126571	0.293636
109	ме	124269	0.288296
110	ып	123512	0.286540
111	өт	123366	0.286201
112	нт	122286	0.283695
113	си	121946	0.282906
114	ис	116667	0.270660
115	аз	115515	0.267987
116	дө	115415	0.267755
117	го	113799	0.264006
118	өл	113656	0.263674
119	па	113446	0.263187
120	ок	110125	0.255483
121	рл	109996	0.255183
122	ев	108048	0.250664
123	гө	106259	0.246514
124	йт	105691	0.245196
125	ло	105460	0.244660
126	ша	104356	0.242099
127	ци	102639	0.238116
128	үр	102071	0.236798
129	йы	102005	0.236645
130	мд	101588	0.235677
131	из	100025	0.232051
132	им	98654	0.228871
133	нү	97619	0.226469
134	ыг	97311	0.225755
135	чу	97308	0.225748
136	йл	96915	0.224836
137	ча	96895	0.224790
138	ро	95184	0.220820
139	ом	95004	0.220403
140	үл	93749	0.217491
141	тө	92721	0.215106
142	кү	91818	0.213012
143	ус	91507	0.212290
144	за	90897	0.210875
145	же	89504	0.207643
146	се	81446	0.188949
147	зд	81049	0.188028
148	со	80709	0.187239
149	ым	80019	0.185639
150	от	79113	0.183537
151	еп	78421	0.181931
152	уш	77875	0.180665
153	гу	76525	0.177533
154	лө	75678	0.175568
155	дү	75635	0.175468
156	ег	74969	0.173923
157	лү	74175	0.172081
158	тр	74120	0.171953
159	шы	73036	0.169439
160	ей	73018	0.169397
161	ес	72175	0.167441
162	пт	72078	0.167216
163	жы	71976	0.166979
164	чи	71447	0.165752
165	рм	70927	0.164546
166	уг	70884	0.164446
167	зм	70237	0.162945
168	шу	70001	0.162398
169	өз	69557	0.161368
170	нг	69459	0.161140
171	ог	69384	0.160966
172	мы	69045	0.160180
173	гү	68731	0.159451
174	ем	67831	0.157363
175	жо	67184	0.155862
176	өө	66167	0.153503
177	ва	65129	0.151095
178	пр	64617	0.149907
179	зи	64116	0.148745
180	рк	64110	0.148731
181	ый	64005	0.148487
182	ял	63902	0.148248
183	бу	63650	0.147664
184	но	63503	0.147323
185	че	62226	0.144360
186	ут	61262	0.142124
187	оп	60875	0.141226
188	ий	60870	0.141214
189	кс	60721	0.140869
190	кк	60546	0.140463
191	ип	60454	0.140249
192	бы	59664	0.138416
193	вд	59058	0.137011
194	яс	58877	0.136591
195	иг	58268	0.135178
196	ум	58150	0.134904
197	ши	57918	0.134366
198	му	56991	0.132215
199	нө	56971	0.132169
200	зы	56135	0.130229
201	лб	55829	0.129520
202	ит	55755	0.129348
203	ян	54689	0.126875
204	сү	54668	0.126826
205	ае	53903	0.125051
206	уч	52363	0.121479
207	лк	51607	0.119725
208	үй	50662	0.117532
209	нч	50221	0.116509
210	ше	50149	0.116342
211	ая	49969	0.115925
212	ид	49534	0.114916
213	об	49357	0.114505
214	зү	48846	0.113319
215	үш	48829	0.113280
216	еш	48461	0.112426
217	йд	48092	0.111570
218	үз	48054	0.111482
219	рс	47718	0.110703
220	ош	47038	0.109125
221	рб	47014	0.109069
222	мо	46839	0.108663
223	чү	46628	0.108174
224	зг	46132	0.107023
225	ск	44896	0.104156
226	өк	43783	0.101574
227	ез	43775	0.101555
228	эк	43712	0.101409
229	мө	43655	0.101277
230	үг	43463	0.100831
231	уп	43010	0.099780
232	үп	42600	0.098829
233	мү	42183	0.097862
234	уз	42028	0.097502
235	ос	41760	0.096880
236	ыс	41528	0.096342
237	ав	41494	0.096263
238	ие	41109	0.095370
239	км	40668	0.094347
240	по	40260	0.093400
241	пу	40025	0.092855
242	жу	39904	0.092575
243	уб	39099	0.090707
244	аж	38940	0.090338
245	лт	38613	0.089580
246	ед	38212	0.088649
247	эр	38175	0.088563
248	өг	38131	0.088461
249	иц	37599	0.087227
250	ач	37346	0.086640
251	ой	36576	0.084854
252	ви	36550	0.084794
253	жү	36243	0.084081
254	шү	35859	0.083190
255	үк	35852	0.083174
256	эл	35847	0.083163
257	бл	35493	0.082341
258	уд	35251	0.081780
259	лм	35236	0.081745
260	еч	35202	0.081666
261	нк	35048	0.081309
262	бө	34971	0.081130
263	ээ	34785	0.080699
264	ең	34659	0.080407
265	сп	34352	0.079694
266	йр	34306	0.079588
267	кч	34152	0.079230
268	рө	33445	0.077590
269	нб	33333	0.077330
270	эс	32811	0.076119
271	бр	32697	0.075855
272	бү	32625	0.075688
273	йг	32139	0.074560
274	үч	31653	0.073433
275	нс	30975	0.071860
276	мб	30907	0.071702
277	сө	30361	0.070435
278	үм	30210	0.070085
279	өм	29775	0.069076
280	рн	28469	0.066046
281	йм	28189	0.065397
282	шо	28097	0.065183
283	зс	28017	0.064998
284	мп	27944	0.064828
285	еб	27887	0.064696
286	ою	27799	0.064492
287	чө	27476	0.063742
288	пе	27178	0.063051
289	мк	27141	0.062965
290	пк	27097	0.062863
291	оч	26382	0.061204
292	ич	26174	0.060722
293	од	26103	0.060557
294	сс	25962	0.060230
295	өс	25036	0.058082
296	иа	23219	0.053867
297	ац	23200	0.053822
298	лл	22712	0.052690
299	өч	22665	0.052581
300	пи	22429	0.052034
301	эм	22090	0.051247
302	кл	22055	0.051166
303	өй	22021	0.051087
304	яб	21855	0.050702
305	ыя	21807	0.050591
306	иб	21495	0.049867
307	оз	21373	0.049584
308	үс	21277	0.049361
309	жи	20834	0.048333
310	жө	20665	0.047941
311	кш	20441	0.047422
312	йи	20341	0.047190
313	фе	20315	0.047129
314	мл	20281	0.047051
315	йб	20096	0.046621
316	оң	19967	0.046322
317	мг	19944	0.046269
318	ио	19668	0.045628
319	мч	19539	0.045329
320	ыб	19260	0.044682
321	зу	19212	0.044571
322	см	19149	0.044424
323	чо	18961	0.043988
324	лч	18904	0.043856
325	тч	18865	0.043766
326	йн	18800	0.043615
327	бд	18589	0.043125
328	аи	18571	0.043083
329	ве	18483	0.042879
330	кц	18274	0.042394
331	ль	18138	0.042079
332	кр	18086	0.041958
333	йо	17930	0.041596
334	йз	17811	0.041320
335	эн	17600	0.040831
336	аң	17583	0.040791
337	чк	17562	0.040743
338	юн	17536	0.040682
339	ив	17431	0.040439
340	ыт	17364	0.040283
341	яг	17002	0.039443
342	ую	16990	0.039416
343	үт	16738	0.038831
344	фо	16559	0.038416
345	зб	16486	0.038246
346	мс	16354	0.037940
347	ңе	16328	0.037880
348	рч	16071	0.037284
349	фи	15985	0.037084
350	зо	15924	0.036943
351	гр	15920	0.036933
352	тя	15506	0.035973
353	өш	15417	0.035766
354	өп	15199	0.035261
355	вт	14940	0.034660
356	яд	14689	0.034077
357	вг	14500	0.033639
358	йк	13928	0.032312
359	йс	13764	0.031932
360	мм	13622	0.031602
361	өд	13574	0.031491
362	во	13117	0.030431
363	зө	13113	0.030421
364	шч	13013	0.030189
365	үд	12745	0.029568
366	чт	12414	0.028800
367	ыч	12270	0.028466
368	өб	12148	0.028183
369	ии	11797	0.027368
370	уя	11765	0.027294
371	ию	11485	0.026644
372	це	11434	0.026526
373	йү	11391	0.026426
374	кн	11323	0.026269
375	юл	11307	0.026231
376	эг	11295	0.026204
377	фа	11155	0.025879
378	мн	11125	0.025809
379	пс	11070	0.025682
380	яр	11011	0.025545
381	оц	10997	0.025512
382	лп	10839	0.025146
383	ха	10814	0.025088
384	мэ	10800	0.025055
385	вр	10725	0.024881
386	рр	10673	0.024761
387	ңд	10564	0.024508
388	лс	10335	0.023977
389	ео	10313	0.023925
390	пы	10092	0.023413
391	ах	9949	0.023081
392	пл	9920	0.023014
393	зе	9827	0.022798
394	ңг	9657	0.022404
395	лн	9605	0.022283
396	нв	9514	0.022072
397	юм	9507	0.022056
398	жэ	9487	0.022009
399	ың	9416	0.021844
400	юш	9160	0.021251
401	тс	8970	0.020810
402	ңи	8829	0.020483
403	тп	8773	0.020353
404	үб	8646	0.020058
405	юу	8612	0.019979
406	ье	8469	0.019648
407	тб	8414	0.019520
408	ыд	8191	0.019003
409	гд	8183	0.018984
410	еф	8162	0.018935
411	ңы	8121	0.018840
412	пп	8045	0.018664
413	мт	7987	0.018529
414	рь	7718	0.017905
415	иң	7713	0.017894
416	як	7456	0.017297
417	пц	7304	0.016945
418	тм	7163	0.016618
419	др	6977	0.016186
420	мь	6976	0.016184
421	эң	6937	0.016093
422	еж	6761	0.015685
423	шп	6641	0.015407
424	нц	6520	0.015126
425	рж	6310	0.014639
426	дж	6306	0.014629
427	өң	6286	0.014583
428	аэ	6130	0.014221
429	оя	6128	0.014217
430	сб	6092	0.014133
431	уц	6032	0.013994
432	шм	5988	0.013892
433	рш	5975	0.013862
434	пш	5925	0.013746
435	аф	5871	0.013620
436	ят	5825	0.013514
437	ля	5714	0.013256
438	рэ	5709	0.013244
439	пч	5550	0.012876
440	кп	5523	0.012813
441	фр	5523	0.012813
442	ех	5512	0.012787
443	лю	5468	0.012685
444	тв	5449	0.012641
445	дд	5397	0.012521
446	эт	5333	0.012372
447	еа	5295	0.012284
448	юр	5290	0.012272
449	дм	5234	0.012143
450	шө	5173	0.012001
451	ңү	5153	0.011955
452	рз	5124	0.011887
453	кв	5105	0.011843
454	кб	4967	0.011523
455	сл	4863	0.011282
456	ау	4847	0.011245
457	ыю	4837	0.011222
458	ож	4744	0.011006
459	лж	4738	0.010992
460	хи	4718	0.010945
461	юс	4670	0.010834
462	нж	4660	0.010811
463	уй	4590	0.010648
464	ее	4574	0.010611
465	уа	4361	0.010117
466	ья	4331	0.010048
467	хн	4324	0.010031
468	бю	4305	0.009987
469	пө	4270	0.009906
470	нн	4184	0.009707
471	уң	4148	0.009623
472	нф	4118	0.009553
473	иф	4101	0.009514
474	шс	4062	0.009424
475	хо	3956	0.009178
476	сд	3941	0.009143
477	йж	3919	0.009092
478	ңу	3887	0.009018
479	йш	3857	0.008948
480	оу	3803	0.008823
481	ңа	3749	0.008697
482	хм	3714	0.008616
483	рв	3696	0.008574
484	кэ	3692	0.008565
485	ое	3646	0.008458
486	юд	3637	0.008438
487	йө	3618	0.008394
488	гэ	3600	0.008352
489	оф	3547	0.008229
490	нм	3487	0.008090
491	фт	3486	0.008087
492	вк	3469	0.008048
493	мж	3337	0.007742
494	тн	3336	0.007739
